PD,STIMU,Rate (Hz),ISI mean (ms),ISI std  (ms),mean mean diff,mean std diff,std mean diff ,std std diff,var diff mean,var std diff,mean mean FR,std mean Fr,seed
1,1,8.75,113.6292,14.9187,-0.3792,1.1847,0.8188,2.548,0.6704,6.4925,0.875,0.0968,
1,1,8.875,118.787,19.8593,-3.3826,1.9439,1.5335,3.3438,2.3516,11.181,0.8875,0.1053,
1,1,8.875,117.4402,21.5533,-1.075,3.0137,2.2553,5.4406,5.0866,29.5999,0.8875,0.1269,
1,1,7.5,161.8229,68.1527,11.4536,12.1815,27.8278,13.645,774.3883,186.1872,0.75,0.1658,
1,1,9,117.0381,20.0854,-1.6334,1.0741,1.8195,2.0332,3.3106,4.1338,0.9,0.1,
1,1,8.75,113.6233,16.3913,-0.4443,1.7313,0.4899,0.8055,0.24,0.6488,0.875,0.0968,
1,1,9,121.6354,23.0207,0.2681,2.8691,2.9373,4.4597,8.6278,19.8887,0.9,0.1,
1,1,9.375,112.1467,18.3345,-2.6007,1.6969,1.6016,3.7367,2.5652,13.9626,0.9375,0.0484,
1,1,8.5,121.485,22.6033,-3.055,1.4687,1.1154,2.7359,1.2442,7.485,0.85,0.1,
1,1,9.375,113.7898,20.0814,-3.134,0.6043,3.9857,2.3952,15.8855,5.7371,0.9375,0.0696,
1,1,9,122.148,30.8118,-2.0874,3.3254,13.4659,6.9462,181.33,48.2493,0.9,0.1118,
1,1,9.125,114.6821,23.3169,-3.4686,1.5604,2.0127,3.3832,4.051,11.4461,0.9125,0.0781,
1,1,9.375,115.6157,17.4949,0.0291,1.965,2.1103,1.5039,4.4534,2.2617,0.9375,0.1218,
1,1,9.125,116.0038,19.8709,1.0178,0.7892,1.6274,1.6897,2.6483,2.8551,0.9125,0.1166,
1,1,9.5,108.0045,12.7758,-0.5281,-0.1798,1.2659,0.9122,1.6026,0.832,0.95,0.0866,
1,1,7.625,139.227,29.8303,4.5314,4.3061,22.8476,4.5322,522.0124,20.5411,0.7625,0.1576,
1,1,8.75,120.2719,18.7838,-2.2066,0.8118,2.1173,1.1014,4.4829,1.2131,0.875,0.0968,
1,1,9.375,110.3176,13.8164,-0.1885,2.3693,2.2023,1.9393,4.8502,3.761,0.9375,0.0857,
1,1,9,116.4857,21.5285,-3.8089,3.3557,2.0923,5.1767,4.3777,26.7983,0.9,0.1323,
1,1,8.5,119.3423,21.6938,-0.1705,4.0358,3.3052,5.7549,10.9242,33.119,0.85,0.1118,
1,1,9.125,114.696,21.927,-0.7228,0.5714,1.1808,1.3955,1.3942,1.9473,0.9125,0.0599,
1,1,9.125,115.6456,17.0323,0.3211,1.5445,0.7764,0.7321,0.6028,0.536,0.9125,0.0781,
1,1,9.125,111.7873,14.3824,-1.9425,2.2605,2.1979,2.99,4.8309,8.94,0.9125,0.1053,
1,1,7,166.279,58.514,17.8318,11.3248,43.6068,10.1813,1901.5487,103.6589,0.7,0.2062,
1,1,9.625,110.6233,17.0067,-3.7543,1.0663,2.8341,2.4126,8.0323,5.8208,0.9625,0.0696,
1,1,9,115.5361,17.0899,-0.3198,1.387,2.3988,2.6273,5.754,6.9029,0.9,0.0866,
1,1,9.5,112.849,19.1801,-0.2812,1.585,2.4982,3.5726,6.2412,12.7635,0.95,0.0866,
1,1,6.375,200.5647,61.9973,10.6329,11.4915,9.5462,11.5541,91.1306,133.4983,0.6375,0.2176,
1,1,8,145.1692,50.8274,4.5508,9.1925,25.8954,7.3179,670.5739,53.5514,0.8,0.1581,
1,1,9.625,107.7571,9.8519,0.2034,1.0484,2.3849,2.441,5.6875,5.9584,0.9625,0.0696,
1,1,8.75,118.3107,23.5525,0.3021,1.9865,5.6488,5.0107,31.909,25.1074,0.875,0.109,
1,1,8.625,117.489,21.8656,0.0368,2.5441,3.6604,4.4624,13.3983,19.9128,0.8625,0.1728,
1,1,7.625,154.1915,50.1014,14.2063,8.9603,36.0097,6.0913,1296.6949,37.1037,0.7625,0.1654,
1,1,8.875,117.6263,17.2873,-0.7557,1.3905,1.0092,2.6888,1.0186,7.2295,0.8875,0.1166,
1,1,8.375,116.1733,18.6673,0.2997,3.5925,2.1475,4.008,4.612,16.0641,0.8375,0.1728,
1,1,8.875,118.1892,17.9341,-0.2132,-0.4662,1.4203,0.9799,2.0172,0.9602,0.8875,0.1269,
1,1,9.5,110.2371,13.9163,-0.5316,0.7563,0.6178,1.0737,0.3817,1.1529,0.95,0.05,
1,1,9.375,112.5217,15.9531,-1.1197,2.3766,1.3793,2.6584,1.9025,7.0671,0.9375,0.0484,
1,1,9.375,114.5934,20.1619,-2.2353,1.9784,1.3294,6.0186,1.7674,36.2233,0.9375,0.0696,
1,1,8.875,115.6782,14.359,0.8016,0.9898,1.1138,1.7581,1.2405,3.0909,0.8875,0.0927,
1,1,9,116.5061,20.6738,-0.7428,1.8048,1.8533,4.1882,3.4346,17.5414,0.9,0.0707,
1,1,7.5,146.4773,48.5125,7.9815,8.7325,28.7942,8.4307,829.1036,71.0771,0.75,0.1225,
1,1,9.25,111.1088,11.1997,0.1638,0.8699,1.1093,0.8443,1.2305,0.7129,0.925,0.0829,
1,1,9,117.804,14.0613,-0.2282,0.3593,0.9621,1.016,0.9256,1.0324,0.9,0.1,
1,1,9.5,113.3031,18.215,-1.4224,1.986,0.8385,2.9994,0.7031,8.9961,0.95,0.05,
1,1,8.25,127.1685,20.766,-2.4103,3.6932,2.5775,3.2782,6.6433,10.7468,0.825,0.1199,
1,0,3.75,222.945,21.8726,44.589,4.3745,35.0334,4.8377,1227.3367,23.4032,0.375,0.2046,
1,0,4.375,241.585,41.17,34.753,8.234,51.4656,6.8155,2648.7125,46.4517,0.4375,0.269,
1,0,4,235.9717,42.9962,31.3803,8.5992,39.7736,6.2529,1581.9393,39.0991,0.4,0.1225,
1,0,3.875,218.6233,39.324,40.7567,7.8648,22.4555,7.2253,504.249,52.2054,0.3875,0.1536,
1,0,2.5,92.2567,15.8728,12.4453,3.1746,16.289,2.5794,265.3322,6.6533,0.25,0.1658,
1,0,3.875,180.6983,16.1286,32.2517,3.2257,29.7507,2.3915,885.1023,5.7194,0.3875,0.1452,
1,0,4.375,218.6667,33.1689,22.6413,6.6338,26.3553,8.1028,694.6042,65.655,0.4375,0.0857,
1,0,4.5,221.4467,33.902,40.8573,6.7804,47.7725,7.155,2282.2075,51.1947,0.45,0.1803,
1,0,4.25,211.765,28.718,35.841,5.7436,33.2815,4.3151,1107.6614,18.6198,0.425,0.192,
1,0,4.75,222.5917,38.4417,22.5483,7.6883,47.4707,10.7069,2253.4633,114.638,0.475,0.2437,
1,0,4.125,207.6783,23.4782,34.6297,4.6956,37.3935,3.5223,1398.2728,12.4065,0.4125,0.1833,
1,0,4,238.855,41.0098,37.933,8.202,22.1324,7.8113,489.8423,61.0159,0.4,0.2062,
1,0,4,215.2508,37.9056,36.2582,7.5811,26.3996,7.7682,696.9403,60.3446,0.4,0.1658,
1,0,4.625,230.96,28.8139,27.65,5.7628,43.4905,5.4264,1891.4239,29.4455,0.4625,0.2595,
1,0,4.375,245.2533,44.3464,30.8687,8.8693,43.2409,6.4574,1869.7791,41.6979,0.4375,0.1495,
1,0,4.875,211.7225,26.9706,19.0525,5.3941,21.3513,4.0262,455.8762,16.2101,0.4875,0.1269,
1,0,4.25,250.0067,18.7821,38.2633,3.7564,50.3628,2.5599,2536.414,6.553,0.425,0.0968,
1,0,3.75,276.5183,22.8694,48.8497,4.5739,42.1423,4.7068,1775.9713,22.1537,0.375,0.2332,
1,0,4.625,215.6667,31.489,33.0793,6.2978,45.888,4.6802,2105.7109,21.9046,0.4625,0.1111,
1,0,4.25,204.425,24.875,40.885,4.975,37.0735,6.0245,1374.4441,36.294,0.425,0.1984,
1,0,4.25,196.8567,26.6295,29.7213,5.3259,49.2845,4.1741,2428.9618,17.423,0.425,0.1714,
1,0,2.625,157.3567,9.3735,31.4713,1.8747,18.2238,1.8812,332.108,3.5389,0.2625,0.1728,
1,0,4.5,202.3683,32.4597,33.7697,6.4919,41.805,5.6422,1747.6548,31.8348,0.45,0.15,
1,0,4.75,205.1183,32.3163,23.9297,6.4633,39.1032,4.5428,1529.0586,20.6368,0.475,0.2222,
1,0,4.5,221.4233,34.2893,44.2847,6.8579,60.7202,3.9875,3686.9484,15.9002,0.45,0.1936,
1,0,4.25,202.385,21.2665,33.495,4.2533,42.9681,2.9889,1846.2608,8.9332,0.425,0.1561,
1,0,4.125,217.8667,31.6613,43.5733,6.3323,42.119,7.6271,1774.0103,58.1727,0.4125,0.1763,
1,0,3,230.27,26.78,42.786,5.356,30.4679,7.5129,928.2954,56.4433,0.3,0.15,
1,0,4.25,223.8933,36.4761,44.7787,7.2952,33.5248,11.4435,1123.9098,130.9546,0.425,0.192,
1,0,3.875,239.86,33.5991,43.148,6.7198,41.9944,5.6848,1763.5276,32.3165,0.3875,0.19,
1,0,2.875,106.3767,15.834,15.1253,3.1668,30.7586,3.4854,946.091,12.1481,0.2875,0.1965,
1,0,4.5,230.2567,44.4547,31.6893,8.8909,35.7135,6.6548,1275.4569,44.2868,0.45,0.0707,
1,0,4,213.995,41.1967,36.235,8.2393,32.563,5.865,1060.351,34.3977,0.4,0.2,
1,0,3.375,250,27.73,46.714,5.546,12.9019,7.1771,166.4597,51.5101,0.3375,0.1728,
1,0,2,118.135,5.535,23.627,1.107,21.8994,2.214,479.5831,4.9018,0.2,0.1732,
1,0,4.875,213.3817,27.6065,32.4043,5.5213,36.6592,3.4401,1343.8964,11.8346,0.4875,0.1166,
1,0,4.25,216.5867,44.1578,36.5933,8.8316,45.241,6.3148,2046.7458,39.8772,0.425,0.0968,
1,0,4.75,204.1417,35.8562,25.3623,7.1712,31.7699,4.0627,1009.3252,16.5056,0.475,0.0661,
1,0,4.375,202.8617,25.6317,37.4163,5.1263,43.2579,4.1666,1871.2463,17.3608,0.4375,0.1798,
1,0,2,89.775,18.555,17.955,3.711,19.4589,7.422,378.6474,55.0861,0.2,0.25,
1,0,4.25,213.1667,32.3041,35.7633,6.4608,39.0859,4.7952,1527.711,22.9935,0.425,0.1854,
1,0,4.5,210.0817,27.9477,18.7923,5.5895,24.9575,7.0282,622.8768,49.396,0.45,0.1658,
1,0,4.875,194.95,32.4602,18.634,6.492,25.1186,4.1582,630.9436,17.2907,0.4875,0.1965,
1,0,4.5,192.925,19.7491,28.347,3.9498,29.3453,4.3146,861.146,18.6155,0.45,0.0866,
1,0,4,209.205,28.1829,39.011,5.6366,28.0273,4.8115,785.5317,23.1503,0.4,0.1732,
1,0,3.75,227.3317,24.8318,42.2543,4.9664,64.401,5.2286,4147.486,27.3383,0.375,0.2107,
1,0,4.25,208.3167,22.4754,33.5573,4.4951,25.6943,5.4776,660.1984,30.0045,0.425,0.1299,
1,0,4,229.2383,33.4335,42.4497,6.6867,36.7717,7.426,1352.1613,55.1453,0.4,0.15,
1,0,3.5,250.6533,16.002,50.1307,3.2004,27.1109,2.7395,734.9984,7.5048,0.35,0.1936,
1,0,4.25,209.1883,32.8064,29.5057,6.5613,33.0867,5.2643,1094.732,27.713,0.425,0.1714,
0,0,3.125,251.3983,22.7182,50.2797,4.5436,26.8732,8.5048,722.1702,72.3315,0.3125,0.19,
0,0,2.625,246.955,10.935,49.391,2.187,27.3567,2.9495,748.3866,8.6994,0.2625,0.2118,
0,0,3.375,262.6917,20.409,44.8903,4.0818,39.529,3.6876,1562.5428,13.5985,0.3375,0.1409,
0,0,3.25,270.6467,26.4045,54.1293,5.2809,34.3048,5.8961,1176.8217,34.7639,0.325,0.1561,
0,0,3.625,280.69,18.7037,48.698,3.7407,59.1199,2.1468,3495.1671,4.6088,0.3625,0.1728,
0,0,3.125,244.26,25.58,48.852,5.116,25.7806,9.358,664.6397,87.5722,0.3125,0.1452,
0,0,2.125,154.185,3.835,30.837,0.767,29.7443,1.534,884.7246,2.3532,0.2125,0.1691,
0,0,2.875,226.37,21.31,45.274,4.262,28.4888,5.6418,811.6133,31.8303,0.2875,0.19,
0,0,2.75,270.64,16.1,54.128,3.22,40.4661,4.6785,1637.5082,21.8888,0.275,0.1639,
0,0,2.375,230.225,14.315,46.045,2.863,39.9421,5.726,1595.3739,32.7871,0.2375,0.1495,
0,0,3.375,256.375,22.525,47.947,4.505,22.5182,6.2811,507.0705,39.4526,0.3375,0.1728,
0,0,3.375,286.9433,28.8364,53.8527,5.7673,36.3383,6.0628,1320.4705,36.757,0.3375,0.1111,
0,0,2.5,180.845,2.395,36.169,0.479,31.2541,0.85,976.8171,0.7225,0.25,0.1871,
0,0,3.125,255.915,25.505,51.183,5.101,26.6841,7.5909,712.0404,57.6216,0.3125,0.2315,
0,0,3,231.675,5.145,46.335,1.029,32.3468,1.3796,1046.3167,1.9033,0.3,0.2291,
0,0,2.875,295.6567,3.6107,59.1313,0.7221,57.9993,0.8949,3363.9176,0.8008,0.2875,0.1615,
0,0,1.625,75.765,3.635,11.515,0.727,12.7384,1.454,162.2671,2.1141,0.1625,0.1409,
0,0,2.875,218.255,8.335,43.651,1.667,29.9962,2.3446,899.775,5.4969,0.2875,0.1965,
0,0,3.75,272.0533,32.5906,50.3587,6.5181,68.2127,6.3817,4652.9765,40.7266,0.375,0.3231,
0,0,3.625,243.58,40.6878,38.684,8.1376,45.4748,6.3112,2067.9586,39.8307,0.3625,0.1654,
0,0,1.875,137.37,0,27.474,0,23.4166,0,548.3365,0,0.1875,0.1763,
0,0,3.625,307.7317,39.813,53.7523,7.9626,53.092,9.1264,2818.7575,83.291,0.3625,0.1111,
0,0,1.75,67.575,10.235,13.515,2.047,14.8379,4.094,220.1638,16.7608,0.175,0.1785,
0,0,3.5,351.895,59.9617,53.927,11.9923,34.6131,18.1739,1198.0661,330.2889,0.35,0.15,
0,0,3.375,225.9167,30.8395,37.9513,6.1679,43.3916,7.5603,1882.8281,57.158,0.3375,0.2288,
0,0,3.875,216.935,28.9454,34.961,5.7891,43.8963,6.0683,1926.8833,36.8237,0.3875,0.1536,
0,0,2.875,202.325,8.395,40.465,1.679,50.0315,3.358,2503.1512,11.2762,0.2875,0.2571,
0,0,3.25,267.0083,16.7553,53.4017,3.3511,44.4015,3.3481,1971.4952,11.2096,0.325,0.1984,
0,0,3.125,244.4,22.3,48.88,4.46,18.6681,7.7578,348.4978,60.183,0.3125,0.1615,
0,0,2.625,184.24,1.64,36.848,0.328,20.5971,0.6337,424.2424,0.4016,0.2625,0.1996,
0,0,3.375,255.13,44.06,51.026,8.812,47.8758,9.5537,2292.0903,91.2724,0.3375,0.0857,
0,0,2.875,160.99,8.65,32.198,1.73,18.1028,2.4719,327.7116,6.1104,0.2875,0.1763,
0,0,3,248.695,16.845,49.739,3.369,23.9285,4.1951,572.5714,17.5988,0.3,0.2062,
0,0,3.75,271.2533,48.2475,54.2507,9.6495,55.1958,11.9539,3046.5806,142.8967,0.375,0.1714,
0,0,3.5,320.8217,28.6343,61.1683,5.7269,72.8434,7.4878,5306.1682,56.0673,0.35,0.1118,
0,0,3.5,302.385,31.8546,57.211,6.3709,55.1909,4.8035,3046.0333,23.074,0.35,0.2872,
0,0,2.875,249.065,6.565,49.813,1.313,26.4044,1.2751,697.1942,1.626,0.2875,0.1965,
0,0,3.625,298.53,99.03,59.706,19.806,107.2881,20.9876,11510.7337,440.4776,0.3625,0.2446,
0,0,4,271.8967,38.5685,51.2313,7.7137,47.0858,9.2524,2217.0711,85.6066,0.4,0.15,
0,0,2.25,230.43,0,46.086,0,38.6304,0,1492.3085,0,0.225,0.1479,
