PD flag,PD proba,Stimulation proba (rounded),CTX rate (Hz),ISI mean (ms),ISI std (ms),,,
0,0.239,0,3.375,230.3817,27.414,,,
0,0.232,0,1.875,124.34,10.57,,,
0,0.226,0,2.875,172.975,17.025,,,
0,0.212,0,3.375,236.915,26.237,,,
0,0.183,0,4,257.78,44.7307,,,
0,0.16,0,3.625,255.96,28.3402,,,
0,0.159,0,3.25,204.165,23.925,,,
0,0.155,0,3.375,231.9117,15.9268,,,
0,0.144,0,1.75,91.05,3.5,,,
0,0.144,0,3.375,238.33,16.79,,,
0,0.136,0,3.75,285.2217,25.9347,,,
0,0.132,0,2.5,154.98,10.583,,,
0,0.121,0,3.75,292.905,24.0863,,,
0,0.119,0,3.375,227.6367,8.4832,,,
0,0.107,0,1.625,82.005,7.365,,,
0,0.099,0,3.25,223.855,19.6551,,,
0,0.091,0,4,277.51,38.3766,,,
0,0.089,0,3.875,278.8383,41.1934,,,
0,0.085,0,3.75,260.045,55.3589,,,
0,0.076,0,3.25,208.555,8.105,,,
0,0.066,0,3.125,204.13,21.48,,,
0,0.064,0,3.25,243.345,18.5068,,,
0,0.059,0,3.25,248.175,18.945,,,
0,0.052,0,3.125,227.225,28.114,,,
0,0.05,0,3.5,315.285,33.5185,,,
0,0.047,0,3.75,286.9167,51.8109,,,
0,0.039,0,3.125,203.86,9.31,,,
0,0.038,1,5.375,169.4503,71.3545,,,
0,0.037,1,6.625,141.601,38.1969,,,
0,0.036,0,3.25,245.64,7.7592,,,
0,0.033,1,6.25,155.2108,45.3915,,,
0,0.031,0,3.5,297.115,25.7619,,,
0,0.03,0,3.125,251.445,26.445,,,
0,0.03,0,1.5,88.25,0,,,
0,0.028,0,2.625,169.96,9.18,,,
0,0.025,0,3,201.635,16.805,,,
0,0.025,0,3.5,335.3767,31.0731,,,
0,0.024,0,3,196.255,12.855,,,
0,0.022,1,5.75,170.5038,46.734,,,
0,0.022,0,3,216.1,22.24,,,
0,0.021,0,3.5,286.575,33.1678,,,
0,0.018,0,3.375,311.6817,22.2648,,,
0,0.017,0,4,324.6533,32.8264,,,
0,0.014,0,3.625,358.645,14.6402,,,
0,0.014,0,3.5,341.975,37.0774,,,
0,0.014,0,3.125,241.375,4.245,,,
0,0.013,0,3.75,338.8167,34.0894,,,
0,0.013,0,3.5,277.2117,39.5599,,,
0,0.013,0,3,251.4083,25.3748,,,
0,0.011,0,2.125,146.52,0.93,,,
0,0.011,0,4,299.65,81.3942,,,
0,0.01,0,3.5,329.63,54.92,,,
0,0.01,0,3.125,259.11,21.8197,,,
0,0.009,0,3.375,288.3617,21.8629,,,
0,0.008,1,6,155.6743,43.124,,,
0,0.008,0,2.875,198.57,10.68,,,
0,0.007,1,6.375,133.601,39.819,,,
0,0.007,0,3,256.935,31.677,,,
0,0.007,0,2.5,180.855,13.925,,,
0,0.007,0,4.125,300.8833,65.321,,,
0,0.006,0,2.875,214.4417,12.4412,,,
0,0.006,0,3.375,270.0933,16.2676,,,
0,0.006,0,4,314.435,62.2274,,,
0,0.005,1,6.375,139.4872,42.6191,,,
0,0.005,0,3.625,303.53,76.4,,,
0,0.005,0,3.75,301.2767,74.2415,,,
0,0.004,0,3.625,346.21,54.7544,,,
0,0.004,0,2.875,216.2133,3.1661,,,
0,0.002,0,3.25,335.665,81.585,,,
0,0.002,0,2.25,185.79,18.82,,,
0,0.002,0,3.25,388.945,44.175,,,
0,0.002,0,2.75,210.705,5.095,,,
0,0.001,0,3.375,421.6383,27.3157,,,
0,0.001,0,2.625,207.66,4.31,,,
0,0.001,0,2.75,250.765,10.115,,,
0,0.001,0,2.25,173.025,3.485,,,
0,0,0,2.75,295.18,14.79,,,
0,0,0,2.375,191.5133,3.1726,,,
0,0,0,3,275.885,17.725,,,
0,0,0,2.5,211.935,6.985,,,
0,0,0,2.875,304.565,8.805,,,
0,0,0,2.625,244.43,4.33,,,
0,0,0,3.625,385.515,59.987,,,
0,0.279,1,6.25,168.2077,69.6657,,,
0,0.055,1,6.375,152.4923,47.2684,,,
0,0.001,1,5.75,146.5468,36.3871,,,
0,0.873,1,7.5,132.9517,34.4055,,,
0,0.003,1,6.25,133.449,42.5498,,,
0,0.341,1,6.75,161.516,58.467,,,
0,0.256,1,6.625,162.5963,53.2255,,,
