Rate (Hz),ISI mean (ms),ISI std  (ms),PD,STIMU
7,154.2993,45.598,0,1
6.625,132.6977,27.5349,0,1
6.25,143.1315,42.8806,0,1
6.375,152.0747,49.8465,0,1
6.75,135.9457,45.214,0,1
7.125,148.8135,47.0037,0,1
7,135.9028,24.1424,0,1
7,134.341,36.894,0,1
6.875,137.0558,42.3425,0,1
6,140.0542,33.7883,0,1
5.625,149.775,49.0084,0,1
6,143.6297,44.6518,0,1
6.5,138.9525,31.6164,0,1
5.75,182.9255,62.8568,0,1
6.125,139.519,43.0019,0,1
6.5,135.8343,35.8805,0,1
5.875,151.1873,59.5421,0,1
6,167.4848,63.3582,0,1
5.5,127.0363,32.1164,0,1
7,146.01,38.2868,0,1
5.625,152.4067,38.5258,0,1
6.875,149.9205,45.5801,0,1
6.875,151.3477,43.579,0,1
6.125,145.2192,33.9319,0,1
6.125,147.8078,52.7881,0,1
6.625,145.8305,33.8249,0,1
7,144.2903,38.4462,0,1
6.875,142.6797,45.1582,0,1
6.375,139.3697,51.3359,0,1
7,152.4158,42.3369,0,1
6.125,146.3502,41.4232,0,1
6.375,151.6803,59.8025,0,1
7.75,132.7553,34.1472,0,1
5.875,169.5825,56.3965,0,1
7.125,141.0918,41.6108,0,1
6.375,138.19,36.4671,0,1
5.75,157.9995,49.5995,0,1
5.25,159.2967,43.5217,0,1
6.125,139.932,34.8819,0,1
6.5,135.323,40.5498,0,1
7.25,141.2463,45.6976,0,1
6.875,154.2905,54.8136,0,1
7,151.1487,49.1948,0,1
6.375,139.5405,33.5209,0,1
5.5,167.2375,46.1784,0,1
6.75,138.9612,41.047,0,1
5.5,196.9525,84.523,0,1
6.75,131.0155,31.9237,0,1
6.375,156.6745,45.0612,0,1
6.875,132.028,33.9282,0,1
7,137.1312,29.5349,0,1
6.75,134.6973,31.7404,0,1
6.375,136.9297,37.7611,0,1
7.25,137.8183,43.3141,0,1
6.375,164.2662,65.1629,0,1
6.25,139.0932,33.7863,0,1
6.875,131.9698,30.5412,0,1
6.125,140.6717,33.5272,0,1
7,140.698,47.0652,0,1
6.25,147.9417,46.005,0,1
6.625,147.7003,44.7191,0,1
6.25,143.0355,40.0172,0,1
6.25,141.1415,34.6369,0,1
6.625,133.1585,35.6847,0,1
5.875,169.2348,62.7599,0,1
5.875,138.8388,41.3621,0,1
6.375,145.1497,40.9336,0,1
6,159.0568,39.8371,0,1
6.125,142.7417,32.7669,0,1
5.875,158.3942,35.8014,0,1
7.125,148.6268,37.2849,0,1
6.5,137.1075,36.0964,0,1
4.5,268.3525,161.7711,0,1
5.75,145.0958,42.4929,0,1
6.625,141.1408,38.4869,0,1
6.875,133.9078,36.773,0,1
6.25,146.2887,33.6932,0,1
6.25,144.0953,30.8951,0,1
7,137.1233,26.1131,0,1
4.75,199.3275,82.4269,0,1
6,187.332,70.8219,0,1
6.125,155.6682,53.4436,0,1
6.25,154.5338,45.8199,0,1
6.25,173.5645,63.8357,0,1
6.125,142.1087,32.8297,0,1
5.375,158.0633,41.0429,0,1
6.875,155.9295,66.346,0,1
6.875,141.8505,31.4132,0,1
5.375,141.4608,34.9177,0,1
5.75,150.866,51.7529,0,1
6.625,142.037,38.9323,0,1
6.25,151.8592,36.9691,0,1
6.5,150.9278,51.0374,0,1
6.5,137.2067,31.6947,0,1
5.75,164.5303,46.8756,0,1
6.375,130.9827,37.8298,0,1
6.25,150.1908,43.5779,0,1
6,136.3562,38.2683,0,1
7.125,146.1338,38.1847,0,1
6.5,149.6758,43.4724,0,1
6.75,153.2112,49.2639,0,1
5.875,144.566,42.3378,0,1
6.625,146.2473,40.6275,0,1
6,151.7517,36.0244,0,1
6.25,133.8512,33.7369,0,1
5.375,148.5078,28.0475,0,1
6.25,133.6563,33.0435,0,1
7,144.6567,39.7724,0,1
5.875,139.9638,26.3298,0,1
5.625,140.2237,43.4073,0,1
7,139.9898,40.5213,0,1
5.75,148.2495,47.5537,0,1
6.375,142.4823,40.4679,0,1
7,151.3137,43.1223,0,1
6.25,145.2358,51.0103,0,1
6.75,158.4893,48.696,0,1
6.375,175.2775,80.5402,0,1
6.75,136.5798,36.294,0,1
6.125,155.2763,56.5677,0,1
7.125,144.0493,36.5967,0,1
7.125,154.671,49.6103,0,1
